date,nav,daily_return,drawdown,positions_count,trades
2025-11-19,99962.38818713378,-0.0003761181286622284,0.00037611812866220133,7,7
2025-11-20,99953.00773283385,-9.383983786348526e-05,0.0004699226716614794,10,10
2025-11-21,100503.89785520933,0.005511491198423535,0.0,11,10
2025-11-24,101018.41901318358,0.005119414957571955,0.0,13,12
2025-11-25,101414.48350901794,0.003920715644764483,0.0,13,10
2025-11-26,101345.30724324034,-0.0006821142639990008,0.0006821142639990544,10,13
2025-11-28,101348.24160713193,2.89541170814811e-05,0.0006531798969337432,10,9
2025-12-01,101144.57999237058,-0.0020095229234546874,0.0026613902404123767,10,11
2025-12-02,100985.27251538083,-0.0015750470959666751,0.004232245521409636,10,6
2025-12-03,101013.89471850582,0.00028342947849790967,0.003950015586052843,10,11
2025-12-04,100917.77417889402,-0.0009515576038292561,0.004897814522515946,9,7
2025-12-05,101015.46494966124,0.0009680234385078812,0.003934532283263257,6,7
2025-12-08,100959.29024391173,-0.0005561000563378826,0.004488444345976799,6,6
2025-12-09,100890.87256996153,-0.0006776758610812506,0.005163078496671025,6,6
2025-12-10,101031.52503240964,0.0013941049260979277,0.003776171443739056,5,5
2025-12-11,101116.15749844359,0.0008376837428396566,0.0029416509383280174,7,5
2025-12-12,101157.41422152708,0.0004080131613399818,0.0025348380092868822,6,5
2025-12-15,101317.60216653442,0.0015835512032418286,0.0009553008518246755,6,5
2025-12-16,101162.21004580689,-0.0015337129719287246,0.002487548666444856,7,8
2025-12-17,101092.9793882294,-0.0006843529569602325,0.0031701992621196782,8,8
2025-12-18,101149.93818092349,0.0005634297558423373,0.0026085556908735383,9,7
2025-12-19,101227.71579286196,0.0007689338553953373,0.0018416276422625216,9,7
2025-12-22,101351.56534272767,0.0012234747064641116,0.0006204061206373484,8,8
2025-12-23,101391.24034167483,0.0003914591630922448,0.00022918982120582465,9,6
2025-12-24,101378.16671380616,-0.00012894238027472138,0.0003581026491995176,5,7
2025-12-26,101366.44560676576,-0.00011561766621293046,0.00047367891241993534,6,5
2025-12-29,101295.87097865297,-0.0006962326407948805,0.001169581762494781,5,5
2025-12-30,101264.88569755555,-0.00030588888567772976,0.0014751128861104368,6,5
2025-12-31,101125.24040930175,-0.0013790099825015112,0.002852088673216646,4,5
2026-01-02,101274.35065414429,0.0014745106586546708,0.0013817834497100046,4,4
2026-01-05,101446.7592555542,0.0017023915759153407,0.0,5,5
2026-01-06,101590.1631104126,0.0014135873428655632,0.0,6,6
2026-01-07,101502.65791026305,-0.0008613550512213131,0.0008613550512212997,8,6
2026-01-08,101824.00975984191,0.0031659451702532593,0.0,7,9
2026-01-09,101898.77031039429,0.000734213381782034,0.0,10,8
2026-01-12,101990.3061539917,0.0008983017490651335,0.0,10,7
2026-01-13,102089.32588682558,0.0009708739640841291,0.0,8,7
2026-01-14,101996.54774732974,-0.0009087937322526107,0.0009087937322526352,6,6
2026-01-15,102101.53239903261,0.001029296128364665,0.0,5,5
2026-01-16,102033.53429730226,-0.0006659851241468395,0.0006659851241468245,8,8
2026-01-20,101674.74394918824,-0.0035163963552276023,0.004180039611711237,7,6
2026-01-21,101905.94069137574,0.0022738856593831347,0.0019156588844569215,9,6
2026-01-22,101831.78892004395,-0.0007276491520387118,0.0026419141089327747,11,9
2026-01-23,101699.81323443603,-0.0012960165681813463,0.003934506712657191,10,6
2026-01-26,101764.57003771972,0.0006367445644606118,0.003300267423959701,10,2
2026-01-27,101912.54837390137,0.001454124319758776,0.0018509421033237326,9,8
2026-01-28,101986.35215994263,0.000724187425580558,0.001128095106739791,9,3
2026-01-29,102078.37264723207,0.0009022823675968183,0.00022683059946672433,9,7
2026-01-30,102069.94326916504,-8.257751224305387e-05,0.0003093893806031641,8,5
2026-02-02,102407.32235446168,0.00330537153730881,0.0,8,5
2026-02-03,102644.64727864074,0.0023174604971860635,0.0,6,7
2026-02-04,102749.37596379088,0.001020303424744906,0.0,6,2
2026-02-05,102580.50428363036,-0.0016435299832869843,0.0016435299832869984,6,6
2026-02-06,102902.1615189209,0.0031356566000217967,0.0,6,4
2026-02-09,103020.7376158142,0.0011523188156887798,0.0,7,4
2026-02-10,102948.32650799559,-0.0007028789493689347,0.0007028789493688807,7,3
2026-02-11,103106.58416709899,0.0015372533432207458,0.0,6,6
2026-02-12,103505.37792152405,0.003867781651836655,0.0,5,7
2026-02-13,103622.2307828064,0.001128954491339984,0.0,6,3
2026-02-17,103692.52150639342,0.0006783363285658428,0.0,6,3
2026-02-18,103818.19269090268,0.0012119599628168665,0.0,7,5
2026-02-19,103870.5853284759,0.0005046575770126793,0.0,7,5
2026-02-20,103923.63701449579,0.000510747925912991,0.0,7,4
2026-02-23,103975.34459429925,0.0004975536007871817,0.0,7,4
2026-02-24,104071.12200650018,0.000921155035115806,0.0,8,4
2026-02-25,104006.76500692744,-0.0006183944050177637,0.0006183944050178026,7,7
2026-02-26,104140.79210762019,0.0012886382985166644,0.0,7,4
2026-02-27,104499.85471553034,0.0034478574691374497,0.0,7,5
2026-03-02,104394.50176718134,-0.0010081635867895677,0.001008163586789573,7,4
2026-03-03,103965.83108743282,-0.004106257250066081,0.0051102810578181395,7,4
2026-03-04,104584.41569070429,0.00594988369545435,0.0,8,5
2026-03-05,104085.1675785522,-0.004773637724654556,0.004773637724654536,7,6
2026-03-06,103760.86557881159,-0.0031157369228027587,0.007874501248142509,5,4
